ID;Título;Localización;Precio;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor;LATITUD;LONGITUD
105850524;Ático en venta en calle de Luisa Fernanda;Argüelles;1095000.0;;160.0;4.0;3.0;;;Segunda mano/buen estado;;2006.0;;;True;40°25'36.57'' N;3°42'50.47'' W
103839118;Piso en venta en calle de Alberto Bosch;Jerónimos;2500000.0;;227.0;3.0;3.0;;;Segunda mano/buen estado;sur;;Gas natural;Planta 1ª exterior;True;40°24'48.5'' N;3°41'28.36'' W
106151385;Dúplex en venta en calle de Santiago;Palacio;1600000.0;;216.0;2.0;3.0;;;Segunda mano/buen estado;sur;1880.0;Calefacción individual;Planta 5ª exterior;True;40°24'57.9'' N;3°42'35.06'' W
104671284;Piso en venta en plaza de los Sagrados Corazones;El Viso;1800000.0;;268.0;5.0;5.0;;True;;este;1964.0;;Planta 2ª exterior;True;40°24'22.33'' N;3°44'13.99'' W
105501862;Piso en venta en calle de Trafalgar;Trafalgar;1190000.0;;135.0;3.0;2.0;;;Segunda mano/buen estado;este;;Gas natural;Planta 3ª exterior;True;40°25'50.96'' N;3°42'1.41'' W
106313540;Chalet pareado en venta en calle del Oria, 16;El Viso;3500000.0;16.0;308.0;6.0;6.0;148.0;;Segunda mano/buen estado;oeste;1968.0;Gas natural;;;40°26'51.38'' N;3°41'1.37'' W
105236114;Piso en venta en calle de Serrano;Bernabéu-Hispanoamérica;1950000.0;;330.0;5.0;4.0;;True;Segunda mano/buen estado;este;;Calefacción central;Planta 5ª exterior;True;40°25'14.99'' N;3°41'19.64'' W
105457544;Piso en venta en calle del Duque de Sesto;Goya;1290000.0;;133.0;2.0;2.0;;;Segunda mano/buen estado;sur;;Calefacción central;Planta 1ª exterior;True;40°25'21.71'' N;3°40'42.99'' W
106139309;Piso en venta en calle de Santiago Bernabéu;El Viso;1550000.0;;230.0;4.0;3.0;;True;Segunda mano/buen estado;este;;Calefacción central;Planta 3ª exterior;True;40°27'2.25'' N;3°41'22.89'' W
103610280;Piso en venta en calle del General Díaz Porlier;Goya;1380000.0;;119.0;3.0;2.0;;;Segunda mano/buen estado;oeste;1930.0;Gas;Planta 4ª exterior;True;40°25'27.51'' N;3°40'38.6'' W
104440887;Piso en venta en paseo del General Martínez Campos;Almagro;2295000.0;;206.0;4.0;4.0;;;Segunda mano/buen estado;sur;1950.0;Gas;Planta 3ª interior;True;40°26'6.4'' N;3°41'53.82'' W
105774021;Piso en venta en calle de Morejón;Almagro;295000.0;;37.0;;;;;Segunda mano/buen estado;;1950.0;Calefacción individual;;True;40°26'15.63'' N;3°41'57.31'' W
105379068;Piso en venta en calle de Bolivia;Nueva España;680000.0;;99.0;3.0;2.0;;;Segunda mano/buen estado;oeste;1962.0;Calefacción individual;Planta 3ª exterior;True;40°27'21.18'' N;3°40'41.52'' W
106324131;Piso en venta en calle del General Díaz Porlier;Goya;1100000.0;;99.0;2.0;3.0;;;Segunda mano/buen estado;este;;Gas natural;Planta 1ª exterior;True;40°25'27.51'' N;3°40'38.6'' W
102248221;Piso en venta en calle de Francisco Silvela;El Viso;785000.0;;120.0;3.0;2.0;;;Segunda mano/buen estado;;1933.0;Calefacción central;;True;40°25'42.93'' N;3°40'10.33'' W
106395772;Piso en venta en calle de la Esperanza;Lavapiés-Embajadores;239000.0;;41.0;;;;;Segunda mano/buen estado;;1890.0;;Planta 1ª exterior;True;40°24'36.94'' N;3°42'2.81'' W
103687885;Piso en venta en calle del Mesón de Paredes;Lavapiés-Embajadores;299000.0;;76.0;3.0;;;True;;este;1905.0;Gas natural;Planta 2ª exterior;True;40°24'42.72'' N;3°42'18.9'' W
106155964;Piso en venta en calle de Martín de los Heros;Argüelles;680000.0;;110.0;4.0;2.0;;;;este;1940.0;Gas natural;Planta 1ª exterior;True;40°25'26.05'' N;3°42'47.42'' W
