titulo;localizacion;precio;caracteristicas_basicas;caracteristicas_extras;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor
Ático en venta en calle del Príncipe de Vergara;Bernabéu-Hispanoamérica;1290000;['160 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este, oeste', 'Construido en 1953', 'Calefacción central', 'Planta 7ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;160;4.0;3.0;;;Segunda mano/buen estado;oeste;1953.0;Calefacción central;Planta 7ª exterior;True
Piso en venta en Nueva España;Chamartín;1650000;['181 m² construidos', '2 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1964', 'Bajo exterior', 'Sin ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;181;2.0;2.0;;True;Segunda mano/buen estado;;1964.0;;;True
Piso en venta en calle Joaquín Bau;Nueva España;2290000;['258 m² construidos', '4 habitaciones', '4 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Orientación este, oeste', 'Construido en 1967', 'Planta 9ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;258;4.0;4.0;;True;Segunda mano/buen estado;oeste;1967.0;;Planta 9ª exterior;True
Piso en venta en calle del Duque de Sesto;Goya;1280000;['121 m² construidos, 99 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, sur, este', 'Calefacción central: Gas', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 7ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año'];;121;3.0;2.0;;;Segunda mano/buen estado;este;;Gas;Planta 7ª exterior;True
Piso en venta en Recoletos;Barrio de Salamanca;3450000;['244 m² construidos', '4 habitaciones', '4 baños', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación este', 'Calefacción central', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;244;4.0;4.0;;;;este;;Calefacción central;Planta 3ª exterior;True
Piso en venta en calle de la Povedilla;Goya;889000;['94 m² construidos, 87 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 1940', 'Calefacción central', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª interior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año'];;94;3.0;2.0;;;Segunda mano/buen estado;norte;1940.0;Calefacción central;Planta 4ª interior;True
Piso en venta en calle de Francisco de Rojas;Trafalgar;2400000;['227 m² construidos', '3 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación oeste', 'Construido en 2020', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año'];;227;3.0;3.0;;;Segunda mano/buen estado;oeste;2020.0;Gas natural;Planta 3ª exterior;True
Piso en venta en Almagro;Chamberí;4200000;['457 m² construidos', '5 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Trastero', 'Construido en 1962', 'Planta 5ª exterior', 'Con ascensor'];['Consumo:', 'Emisiones:'];;457;5.0;3.0;;True;;;1962.0;;Planta 5ª exterior;True
Piso en venta en calle de Bailén;Palacio;1100000;['164 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1940', 'Planta 4ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;164;3.0;2.0;;;Segunda mano/buen estado;;1940.0;;Planta 4ª exterior;True
Piso en venta en calle de Hilarión Eslava;Gaztambide;1200000;['178 m² construidos, 145 m² útiles', '3 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1955', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;178;3.0;4.0;;;Segunda mano/buen estado;;1955.0;Calefacción central;Planta 4ª exterior;True
Piso en venta en plaza Manolete;Cuatro Caminos;1175000;['165 m² construidos, 148 m² útiles', '3 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1967', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 15ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;165;3.0;3.0;;True;Segunda mano/buen estado;;1967.0;Calefacción central;Planta 15ª exterior;True
Dúplex en venta en calle de La Masó;Mirasierra;1500000;['320 m² construidos', '5 habitaciones', '3 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 6ª exterior', 'Con ascensor'];['Aire acondicionado', 'Piscina', 'Zonas verdes', 'Consumo:', 'Emisiones:'];;320;5.0;3.0;;True;Segunda mano/buen estado;este;;Calefacción central;Planta 6ª exterior;True
Piso en venta en calle de Villalar;Recoletos;2490000;['207 m² construidos', '4 habitaciones', '5 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1900', 'Calefacción individual', 'Planta 5ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;207;4.0;5.0;;;Segunda mano/buen estado;oeste;1900.0;Calefacción individual;Planta 5ª exterior;True
Piso en venta en calle de Hermosilla;Goya;1420000;['115 m² construidos, 114 m² útiles', '2 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1930', 'Calefacción individual: Gas natural', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;115;2.0;3.0;;;Segunda mano/buen estado;;1930.0;Gas natural;Planta 1ª exterior;True
Piso en venta en calle de Núñez de Balboa;Castellana;3945000;['340 m² construidos, 300 m² útiles', '5 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1954', 'Calefacción central: Gas', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Zonas verdes', 'Consumo:', 'Emisiones:'];;340;5.0;4.0;;;Segunda mano/buen estado;oeste;1954.0;Gas;Planta 3ª exterior;True
Piso en venta en calle del General Díaz Porlier;Lista;620000;['98 m² construidos', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Entreplanta interior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;98;2.0;2.0;;;Segunda mano/buen estado;;;;;True
Piso en venta en calle de Lope de Rueda;Goya;660000;['62 m² construidos', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 4ª interior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;62;2.0;2.0;;;Segunda mano/buen estado;;;;Planta 4ª interior;True
