ID,Título,Localización,Precio,Características Básicas,Características Extras
105155727,Ático en venta en avenida de Machupichu,Conde Orgaz-Piovera,870000,"['141 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 1996', 'Calefacción individual: Gas natural', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'En trámite']"
103666203,N/A,N/A,N/A,[],[]
106264579,Piso en venta en calle de Alfonso XII,Jerónimos,1550000,"['165 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación este', 'Planta 1ª exterior', 'Con ascensor']","['Consumo:', 'Emisiones:']"
105070649,"Casa o chalet independiente en venta en calle de Cambrils, 3 --b",Mirasierra,2460000,"['Casa o chalet independiente', '3 plantas', '753 m² construidos', '7 habitaciones', '6 baños', 'Parcela de 750 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 2002', 'Calefacción individual: Gas natural']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']"
105501144,Piso en venta en calle de Castelló,Castellana,2250000,"['230 m² construidos', '3 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual: Gas natural', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
103365843,"Ático en venta en calle de Mesonero Romanos, 4",Sol,1080000,"['147 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Orientación norte, este', 'Construido en 1900', 'Calefacción individual', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
105197920,Piso en venta en plaza Manolete,Cuatro Caminos,1175000,"['165 m² construidos, 148 m² útiles', '3 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1967', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 15ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
104499449,Piso en venta en calle de Goya,Goya,3600000,"['379 m² construidos', '5 habitaciones', '5 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1955', 'Calefacción individual', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año']"
105725481,Piso en venta en calle de Hilarión Eslava,Gaztambide,1200000,"['178 m² construidos, 145 m² útiles', '3 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1955', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
106211397,Chalet adosado en venta en paseo de La Habana,Nueva España,3110000,"['Chalet adosado', '3 plantas', '395 m² construidos', '5 habitaciones', '6 baños', 'Parcela de 431 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación norte, sur', 'Construido en 1987', 'Calefacción individual']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año']"
104281658,Casa o chalet independiente en venta en Mirasierra,Fuencarral,2460000,"['Casa o chalet independiente', '3 plantas', '753 m² construidos', '7 habitaciones', '6 baños', 'Parcela de 750 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Calefacción individual']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']"
106107690,Ático en venta en Adelfas,Retiro,880000,"['175 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual: Gas natural', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'En trámite']"
105122568,Piso en venta en calle de Goya,Goya,3600000,"['379 m² construidos', '5 habitaciones', '4 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Calefacción central', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
103997327,Piso en venta en calle de Ayala,Goya,2630000,"['306 m² construidos', '5 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este', 'Calefacción central', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
102043012,Piso en venta en Nueva España,Chamartín,1650000,"['181 m² construidos', '2 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1964', 'Bajo exterior', 'Sin ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
104613472,Piso en venta en calle de Francisco de Rojas,Trafalgar,2400000,"['227 m² construidos', '3 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación oeste', 'Construido en 2020', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año']"
106158684,Piso en venta en calle del Conde de Peñalver,Goya,2300000,"['170 m² construidos', '3 habitaciones', '2 baños', 'Terraza y balcón', 'Segunda mano/para reformar', 'Armarios empotrados', 'Calefacción individual: Gas natural', 'Planta 4ª exterior', 'Con ascensor']","['Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año']"
105829686,Piso en venta en calle de la Povedilla,Goya,889000,"['94 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 1940', 'Calefacción central', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª interior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año']"
105924592,Piso en venta en calle del Alcalde Sainz de Baranda,Ibiza,895000,"['115 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación sur, oeste', 'Calefacción individual: Gas natural', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 5ª interior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n134 kWh/m² año', 'Emisiones: \n28 kg CO2/m² año']"
105521069,Piso en venta en calle de Noblejas,Palacio,1595000,"['164 m² construidos, 147 m² útiles', '3 habitaciones', '3 baños', 'Balcón', 'Segunda mano/buen estado', 'Orientación norte', 'Construido en 1989', 'Calefacción individual', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n150 kWh/m² año', 'Emisiones: \n32 kg CO2/m² año']"
